Designator,Mid X,Mid Y,Rotation,Layer
BT1,110.7241,-105.3666,270.0,top
C1,114.0,-44.5,270.0,bottom
C10,143.6231,-60.3886,90.0,bottom
C100,143.7561,-150.7896,90.0,bottom
C101,158.4881,-150.7896,90.0,bottom
C102,173.8551,-150.7896,90.0,bottom
C103,188.5871,-150.7896,90.0,bottom
C104,203.4461,-150.8586,90.0,bottom
C105,123.5,-165.1766,270.0,bottom
C106,128.8381,-165.1846,270.0,bottom
C107,143.1891,-165.1846,270.0,bottom
C108,158.5561,-165.3116,270.0,bottom
C109,173.6691,-165.3116,270.0,bottom
C11,158.9581,-60.3166,90.0,bottom
C110,166.0011,-82.5036,90.0,top
C111,154.0011,-112.5036,90.0,top
C112,165.5011,-112.5036,90.0,top
C113,142.5011,-82.5036,90.0,top
C114,142.5011,-97.5036,90.0,top
C115,142.5011,-112.5036,90.0,top
C12,54.0011,-107.5036,0.0,top
C13,54.0011,-116.5036,0.0,top
C14,154.0011,-97.5036,90.0,top
C15,59.8921,-109.6956,180.0,top
C16,47.5011,-109.5036,90.0,top
C17,165.5011,-97.5036,90.0,top
C18,154.0011,-82.5036,90.0,top
C19,68.9411,-64.2236,270.0,top
C2,138.0941,-44.3826,270.0,bottom
C20,173.5951,-60.3886,90.0,bottom
C21,188.8351,-60.3886,90.0,bottom
C22,203.6941,-60.3886,90.0,bottom
C23,52.0,-75.0,270.0,bottom
C24,69.1801,-75.2376,270.0,bottom
C25,83.9121,-75.1106,270.0,bottom
C26,98.7711,-75.2376,270.0,bottom
C27,113.8371,-75.0966,270.0,bottom
C28,128.9971,-75.1106,270.0,bottom
C29,143.8561,-75.1106,270.0,bottom
C3,153.9691,-44.3826,270.0,bottom
C30,158.8421,-75.1106,270.0,bottom
C31,183.3531,-74.9836,270.0,bottom
C32,189.0681,-75.2376,270.0,bottom
C33,203.5911,-75.2436,270.0,bottom
C34,218.25,-75.2,270.0,bottom
C35,234.1531,-75.2376,270.0,bottom
C36,42.2711,-94.2486,180.0,bottom
C37,54.0881,-90.4876,90.0,bottom
C38,68.8201,-90.4876,90.0,bottom
C39,83.6791,-90.4876,90.0,bottom
C4,168.0,-44.3826,270.0,bottom
C40,98.9191,-90.4876,90.0,bottom
C41,113.7781,-90.3606,90.0,bottom
C42,170.5,-98.0,90.0,top
C43,121.5011,-60.5036,180.0,top
C44,128.8911,-90.3606,90.0,bottom
C45,143.9911,-90.3836,90.0,bottom
C46,158.4911,-90.4636,90.0,bottom
C47,174.1031,-90.4876,90.0,bottom
C48,188.7081,-90.4876,90.0,bottom
C49,203.6941,-90.4876,90.0,bottom
C5,183.0,-44.5,270.0,bottom
C50,218.8071,-90.4876,90.0,bottom
C51,234.4281,-90.4876,90.0,bottom
C52,248.9061,-90.4876,90.0,bottom
C53,48.0661,-104.8596,270.0,bottom
C54,63.0521,-104.8596,270.0,bottom
C55,78.5,-104.8596,270.0,bottom
C56,93.0241,-104.8596,270.0,bottom
C57,108.3911,-104.8596,270.0,bottom
C58,122.9311,-105.0176,270.0,bottom
C59,138.2361,-104.9866,270.0,bottom
C6,93.1241,-59.8746,90.0,bottom
C60,153.575,-104.925,270.0,bottom
C61,168.2081,-104.9866,270.0,bottom
C62,182.9401,-104.9866,270.0,bottom
C63,198.525,-105.0,270.0,bottom
C64,213.1661,-104.9866,270.0,bottom
C65,228.4061,-104.6056,270.0,bottom
C66,243.1381,-104.8596,270.0,bottom
C67,258.0,-104.6056,270.0,bottom
C68,48.5,-120.5,90.0,bottom
C69,54.3741,-120.8096,90.0,bottom
C7,97.299079,-59.454717,90.0,bottom
C70,69.1061,-120.8096,90.0,bottom
C71,83.3301,-120.8096,90.0,bottom
C72,98.6971,-120.8096,90.0,bottom
C73,113.9371,-120.8096,90.0,bottom
C74,128.7961,-120.8096,90.0,bottom
C75,143.5281,-120.6826,90.0,bottom
C76,158.6411,-120.8096,90.0,bottom
C77,173.8811,-120.8096,90.0,bottom
C78,188.7401,-120.6826,90.0,bottom
C79,203.4721,-120.8096,90.0,bottom
C8,114.4851,-60.3506,90.0,bottom
C80,218.5851,-120.8096,90.0,bottom
C81,233.5711,-120.8096,90.0,bottom
C82,248.6841,-120.8096,90.0,bottom
C83,78.4501,-134.8066,270.0,bottom
C84,93.5361,-134.7686,270.0,bottom
C85,63.1281,-134.7376,270.0,bottom
C86,108.1371,-134.8316,270.0,bottom
C87,123.5041,-134.8316,270.0,bottom
C88,138.3631,-134.8316,270.0,bottom
C89,153.3491,-134.8316,270.0,bottom
C9,128.9381,-60.2556,90.0,bottom
C90,168.3351,-134.8316,270.0,bottom
C91,183.5751,-134.8316,270.0,bottom
C92,198.4341,-134.8316,270.0,bottom
C93,212.8561,-134.7756,270.0,bottom
C94,228.2231,-134.7756,270.0,bottom
C95,243.5,-134.5216,270.0,bottom
C96,93.5,-150.1246,90.0,bottom
C97,108.6471,-150.2526,90.0,bottom
C98,113.8661,-150.8376,90.0,bottom
C99,127.9631,-150.8376,90.0,bottom
D226,117.0,-67.0,180.0,top
J1,143.3511,-60.1036,90.0,top
J2,42.5681,-105.1126,270.0,top
JP1,60.0011,-80.5036,0.0,top
LED1,118.4011,-44.7636,180.0,bottom
LED10,148.5011,-60.0036,0.0,bottom
LED11,163.5011,-60.0036,0.0,bottom
LED12,178.5011,-60.0036,0.0,bottom
LED13,193.8311,-60.1236,0.0,bottom
LED14,208.9411,-60.1236,0.0,bottom
LED15,133.4511,-74.8836,180.0,bottom
LED16,43.6611,-90.1236,0.0,bottom
LED17,58.7711,-90.1236,0.0,bottom
LED18,73.8811,-90.1236,0.0,bottom
LED19,88.4911,-90.1236,0.0,bottom
LED2,133.2911,-44.7636,180.0,bottom
LED20,58.4011,-74.8836,180.0,bottom
LED21,73.7911,-74.8836,180.0,bottom
LED22,88.6811,-74.8836,180.0,bottom
LED23,103.5711,-74.8836,180.0,bottom
LED24,118.2811,-74.7336,180.0,bottom
LED25,103.8311,-90.2736,0.0,bottom
LED26,148.5611,-74.7336,180.0,bottom
LED27,43.4511,-105.2336,180.0,bottom
LED28,58.3411,-105.2336,180.0,bottom
LED29,73.2311,-105.2336,180.0,bottom
LED3,148.6811,-44.7636,180.0,bottom
LED30,88.1211,-105.2336,180.0,bottom
LED31,103.5111,-105.2336,180.0,bottom
LED32,163.4011,-74.7336,180.0,bottom
LED33,43.5011,-120.5036,0.0,bottom
LED34,58.8211,-120.2736,0.0,bottom
LED35,73.9311,-120.2736,0.0,bottom
LED36,88.7211,-120.4236,0.0,bottom
LED37,103.8311,-120.4236,0.0,bottom
LED38,178.5611,-75.0836,180.0,bottom
LED39,118.5511,-120.4236,0.0,bottom
LED4,163.0711,-44.7636,180.0,bottom
LED40,133.6611,-120.4236,0.0,bottom
LED41,148.7711,-120.4236,0.0,bottom
LED42,163.8811,-120.4236,0.0,bottom
LED43,178.9911,-120.4236,0.0,bottom
LED44,193.9011,-75.0836,180.0,bottom
LED45,118.7111,-89.9236,0.0,bottom
LED46,133.8211,-89.9236,0.0,bottom
LED47,148.9311,-89.9236,0.0,bottom
LED48,163.7211,-90.0736,0.0,bottom
LED49,178.8311,-90.0736,0.0,bottom
LED5,178.4611,-44.7636,180.0,bottom
LED50,118.0611,-104.9336,180.0,bottom
LED51,133.4511,-104.9336,180.0,bottom
LED52,148.3411,-104.9336,180.0,bottom
LED53,163.2311,-104.9336,180.0,bottom
LED54,178.1211,-104.9336,180.0,bottom
LED55,208.5111,-74.9336,180.0,bottom
LED56,223.4011,-74.9336,180.0,bottom
LED57,238.7911,-74.9336,180.0,bottom
LED58,193.8211,-120.0736,0.0,bottom
LED59,208.9311,-120.0736,0.0,bottom
LED6,88.5011,-60.0036,0.0,bottom
LED60,193.7211,-90.2236,0.0,bottom
LED61,208.8311,-90.2236,0.0,bottom
LED62,223.9411,-90.2236,0.0,bottom
LED63,223.5511,-120.2236,0.0,bottom
LED64,238.6611,-120.2236,0.0,bottom
LED65,193.2311,-104.7836,180.0,bottom
LED66,208.1211,-104.7836,180.0,bottom
LED67,223.5111,-104.7836,180.0,bottom
LED68,239.1011,-90.2236,0.0,bottom
LED69,254.2111,-90.2236,0.0,bottom
LED7,104.0011,-60.0036,0.0,bottom
LED70,238.5011,-105.0036,180.0,bottom
LED71,253.5011,-105.0036,180.0,bottom
LED72,253.7211,-120.3736,0.0,bottom
LED73,58.1711,-135.1336,180.0,bottom
LED74,73.5611,-135.1336,180.0,bottom
LED75,88.4511,-135.1336,180.0,bottom
LED76,103.3411,-135.1336,180.0,bottom
LED77,118.2311,-135.1336,180.0,bottom
LED78,133.6211,-135.1336,180.0,bottom
LED79,148.5111,-135.1336,180.0,bottom
LED8,119.0011,-60.0036,0.0,bottom
LED80,163.4011,-135.1336,180.0,bottom
LED81,178.7911,-135.1336,180.0,bottom
LED82,193.6811,-135.1336,180.0,bottom
LED83,208.5711,-135.1336,180.0,bottom
LED84,223.2811,-134.9836,180.0,bottom
LED85,238.6711,-134.9836,180.0,bottom
LED86,88.4411,-150.5236,0.0,bottom
LED87,104.0511,-150.5236,0.0,bottom
LED88,118.6611,-150.5236,0.0,bottom
LED89,133.7711,-150.5236,0.0,bottom
LED9,133.5011,-60.0036,0.0,bottom
LED90,148.8811,-150.5236,0.0,bottom
LED91,163.9911,-150.5236,0.0,bottom
LED92,179.1011,-150.5236,0.0,bottom
LED93,193.7111,-150.5236,0.0,bottom
LED94,208.8211,-150.0236,0.0,bottom
LED95,118.5711,-165.4836,180.0,bottom
LED96,133.2811,-164.8336,180.0,bottom
LED97,148.1711,-164.8336,180.0,bottom
LED98,163.0611,-164.8336,180.0,bottom
LED99,178.4511,-164.8336,180.0,bottom
R1,148.5011,-93.5036,0.0,top
R10,160.5011,-78.5036,0.0,top
R11,160.0011,-108.5036,0.0,top
R12,137.0011,-78.5036,0.0,top
R13,137.0011,-93.5036,0.0,top
R14,137.0011,-108.5036,0.0,top
R15,128.0011,-70.0036,0.0,top
R16,128.0011,-55.0036,180.0,top
R17,128.0011,-58.0036,180.0,top
R18,128.0011,-67.0036,180.0,top
R19,128.0011,-61.0036,180.0,top
R2,160.0011,-93.5036,0.0,top
R20,128.0011,-52.0036,180.0,top
R21,128.0011,-64.0036,180.0,top
R22,125.0,-42.0,0.0,top
R23,127.0,-46.5,90.0,top
R3,48.0,-104.0,180.0,top
R4,48.0081,-106.0,180.0,top
R5,112.0805,-84.5,0.0,top
R6,65.3671,-65.3376,0.0,top
R7,120.5,-67.5,90.0,top
R8,148.5011,-108.5036,0.0,top
R9,148.5011,-78.5036,0.0,top
U$1,64.5,-112.5,0.0,top
U$2,64.5,-116.0,0.0,top
U$3,51.0,-107.0,0.0,top
U1,88.0011,-92.5036,0.0,top
U2,100.203,-64.73,0.0,top
VR1,54.0011,-112.0036,180.0,top
Y1,82.5011,-94.5036,0.0,top
